login_attempts,access_hour,requests_per_min,ip_risk,device_change,geo_change,failed_logins,label
15,23,47,0,0,0,2,1
13,6,40,0,1,1,2,1
1,13,52,1,0,1,3,1
14,1,2,0,0,0,2,1
3,10,21,1,1,1,1,0
15,16,13,1,1,1,4,1
5,18,34,0,1,0,4,1
4,0,42,1,1,1,5,1
3,1,13,0,1,1,1,0
10,23,13,0,0,0,1,1
6,19,33,0,0,0,0,0
10,22,47,1,1,0,2,1
14,7,1,0,1,0,0,1
5,14,5,1,0,1,4,1
8,1,52,1,0,1,5,1
9,18,52,1,1,1,0,1
12,17,30,1,0,0,2,1
7,4,44,0,1,0,5,1
10,15,27,1,0,0,0,1
6,12,3,0,1,0,2,0
4,7,11,0,1,1,1,0
14,9,42,1,0,1,3,1
3,10,60,0,1,0,1,1
15,3,59,1,0,1,0,1
2,8,43,1,1,1,2,1
5,13,38,0,0,0,1,0
13,15,34,0,0,1,1,1
1,19,55,0,0,1,1,1
12,12,40,0,0,1,4,1
14,3,44,1,0,0,1,1
9,5,14,0,0,1,1,1
6,16,29,0,0,1,0,0
7,13,10,0,1,1,5,1
11,16,29,0,0,0,1,1
4,15,16,1,0,1,3,0
6,1,15,1,0,1,4,1
7,8,18,0,1,0,2,0
5,21,8,0,1,0,1,0
5,15,6,0,1,1,3,0
5,1,46,0,1,1,1,1
5,9,29,1,1,1,4,1
13,7,34,0,1,0,3,1
11,12,55,0,1,0,3,1
7,12,36,0,1,1,1,0
12,1,14,0,0,1,4,1
10,7,22,0,1,0,3,1
11,20,7,0,0,1,0,1
4,14,13,0,0,0,3,0
7,21,35,1,1,0,1,0
13,18,48,0,1,0,0,1
9,10,19,1,0,1,3,1
1,5,6,0,0,0,1,0
5,3,40,0,1,1,0,0
15,5,6,0,1,0,4,1
14,4,31,0,0,1,3,1
14,7,12,0,1,1,4,1
13,5,24,0,0,1,1,1
12,9,60,0,0,1,2,1
1,6,14,0,1,1,2,0
3,15,1,1,1,1,3,0
2,15,8,0,0,1,2,0
13,15,32,0,1,1,5,1
6,4,23,0,1,0,4,1
9,18,23,1,0,0,1,1
6,15,46,1,1,1,0,1
15,17,44,1,1,0,2,1
4,4,41,0,0,1,1,1
2,5,55,0,0,0,4,1
1,17,25,1,1,0,3,0
4,22,20,0,1,0,2,0
13,6,37,0,0,0,4,1
15,8,22,1,0,1,3,1
11,3,21,0,1,1,2,1
12,22,38,0,0,1,3,1
5,12,30,0,1,0,0,0
12,17,53,1,1,1,0,1
1,16,53,0,0,0,1,1
10,4,25,1,1,0,0,1
8,21,5,0,1,0,5,1
2,12,60,1,0,0,0,1
10,0,36,1,1,0,1,1
8,8,41,0,1,1,4,1
8,7,47,0,0,0,5,1
2,12,5,1,1,1,4,1
12,23,33,0,1,0,5,1
8,2,21,0,0,1,3,0
14,5,37,1,1,0,4,1
12,12,51,0,1,0,1,1
3,5,53,1,1,1,1,1
8,7,37,1,1,0,4,1
9,22,16,0,0,0,4,1
5,7,38,1,0,0,3,0
15,11,23,0,0,1,5,1
1,20,25,1,1,0,3,0
10,16,33,1,1,1,3,1
11,20,26,1,0,0,4,1
3,16,28,0,0,1,2,0
7,12,43,0,1,0,1,1
9,2,15,0,0,0,4,1
13,8,24,1,1,0,3,1
4,22,28,0,0,0,4,1
12,21,56,1,1,1,2,1
3,13,39,0,1,0,1,0
9,10,44,1,0,1,2,1
13,12,7,0,0,0,2,1
6,19,27,0,0,0,3,0
14,23,55,1,1,0,0,1
1,20,9,0,1,0,1,0
2,8,12,1,0,0,4,1
11,14,28,0,1,0,4,1
9,3,13,1,0,1,5,1
1,6,56,1,0,0,5,1
3,6,57,1,0,0,0,1
10,15,38,0,0,0,5,1
13,23,31,0,0,1,2,1
13,20,49,1,0,1,1,1
10,3,46,1,0,1,0,1
1,15,57,0,0,0,2,1
3,18,30,0,0,1,3,0
14,9,51,0,1,1,0,1
14,21,16,0,0,1,4,1
9,14,31,1,1,0,0,1
13,4,15,1,0,0,1,1
3,23,15,0,1,0,5,1
13,15,58,1,0,1,2,1
15,11,55,1,1,0,0,1
15,6,21,0,1,0,5,1
4,20,36,1,1,0,1,0
8,13,53,1,1,0,4,1
12,8,38,0,1,0,0,1
14,4,36,0,1,0,1,1
10,8,4,1,1,0,5,1
11,2,34,1,0,1,5,1
4,3,49,1,0,0,3,1
7,9,41,1,1,0,0,1
3,18,54,1,1,1,5,1
7,8,54,0,1,0,1,1
1,19,15,1,0,1,3,0
3,14,39,1,1,1,5,1
8,11,41,0,1,1,5,1
13,10,27,0,1,1,5,1
9,4,4,1,1,1,2,1
15,3,43,1,1,0,1,1
5,13,40,1,0,1,5,1
15,11,60,1,0,1,3,1
11,6,46,0,0,1,5,1
1,11,31,0,0,0,3,0
12,11,11,0,0,1,4,1
9,22,58,0,1,0,3,1
8,2,18,0,1,1,2,0
12,11,12,1,0,0,5,1
9,21,43,1,1,1,3,1
2,17,37,0,0,0,0,0
15,16,46,0,1,1,5,1
1,17,18,1,1,1,4,1
9,4,33,1,0,0,3,1
8,18,29,0,1,0,1,0
10,3,50,0,0,0,0,1
1,7,57,1,0,1,0,1
6,9,13,0,1,1,0,0
6,19,21,0,1,0,2,0
10,9,14,0,0,1,5,1
11,1,20,1,0,1,4,1
11,13,49,1,0,0,2,1
1,11,27,0,0,0,3,0
13,7,47,0,0,1,2,1
5,11,3,1,0,0,2,0
5,20,39,0,1,1,4,1
7,22,53,0,1,0,0,1
13,7,38,1,0,1,2,1
6,15,5,0,0,1,2,0
2,5,17,0,1,1,1,0
8,19,23,1,1,1,4,1
13,22,39,1,0,0,4,1
15,19,38,0,1,1,4,1
9,17,1,0,1,1,0,1
2,19,59,1,0,0,5,1
4,22,28,1,0,0,2,0
7,9,58,1,1,1,0,1
5,18,22,1,0,1,3,0
15,15,20,1,1,0,1,1
6,8,2,0,0,1,5,1
3,16,26,0,1,0,2,0
2,20,25,0,1,0,1,0
10,11,24,1,0,0,3,1
11,11,36,1,1,1,3,1
11,12,28,0,1,1,5,1
6,13,45,1,1,1,1,1
8,14,31,1,0,1,1,0
12,7,22,1,1,1,4,1
7,1,32,0,1,0,0,0
12,1,46,1,1,1,2,1
10,19,55,0,1,0,4,1
8,20,46,0,0,1,2,1
3,3,54,1,0,0,3,1
15,0,9,0,0,0,3,1
11,4,51,1,0,0,3,1
11,7,18,1,0,0,4,1
7,7,11,1,0,1,3,0
5,6,36,1,1,1,3,0
2,1,27,1,0,1,0,0
6,17,13,0,1,1,3,0
3,21,9,0,1,0,2,0
7,8,59,0,1,0,4,1
2,17,16,0,1,0,1,0
13,21,39,0,1,0,5,1
9,15,14,1,0,0,4,1
2,20,59,1,1,0,1,1
3,12,47,1,0,1,4,1
13,0,51,1,0,1,0,1
11,12,55,0,1,1,3,1
6,2,12,1,0,1,1,0
12,3,45,1,1,0,4,1
3,4,31,0,0,1,5,1
8,3,46,0,0,1,5,1
14,4,43,1,1,1,0,1
14,3,7,0,0,0,2,1
3,20,45,1,0,0,5,1
8,19,58,1,1,1,0,1
8,21,8,0,0,1,0,0
7,15,8,0,1,0,3,0
1,12,52,0,0,0,2,1
5,19,14,0,1,0,5,1
3,6,4,0,0,0,5,1
12,20,22,0,1,1,0,1
4,21,36,0,1,0,1,0
4,23,7,1,1,0,0,0
3,18,29,1,1,1,3,0
6,16,39,0,0,1,5,1
1,20,38,0,1,0,2,0
5,8,12,0,0,0,3,0
14,4,46,0,0,0,0,1
10,17,28,1,0,1,4,1
15,7,40,1,1,1,0,1
2,2,53,0,0,0,5,1
2,9,32,1,1,1,5,1
12,9,40,0,1,0,5,1
6,20,37,0,0,0,2,0
7,10,30,0,1,0,4,1
3,21,57,0,0,0,3,1
10,14,52,0,1,0,2,1
8,23,41,1,0,0,5,1
11,1,8,1,1,0,2,1
9,13,41,1,0,0,0,1
9,18,42,1,1,0,1,1
15,1,21,0,1,0,0,1
15,4,52,0,1,1,0,1
3,16,11,1,1,1,0,0
12,15,13,1,1,0,0,1
7,23,45,0,0,0,0,1
7,13,6,1,1,1,0,0
9,19,44,1,1,1,5,1
11,22,9,0,0,0,1,1
11,20,3,0,0,1,1,1
8,16,31,1,0,1,0,0
13,16,4,0,1,1,3,1
9,13,52,0,0,1,2,1
1,9,52,1,0,0,5,1
10,6,17,0,1,1,3,1
9,5,57,1,1,1,0,1
6,2,60,0,1,0,4,1
2,4,36,1,1,0,5,1
3,0,46,1,1,0,5,1
1,13,11,0,0,1,0,0
6,15,7,1,1,0,5,1
15,22,52,0,1,1,3,1
14,11,42,1,1,0,1,1
8,11,52,0,1,1,0,1
13,22,30,1,0,1,1,1
7,21,15,0,0,1,3,0
10,20,6,1,1,0,5,1
8,6,23,0,0,1,4,1
6,16,18,1,0,0,4,1
1,10,57,1,0,0,2,1
9,6,50,1,0,0,0,1
5,6,13,0,0,1,1,0
11,11,25,1,0,0,0,1
14,5,43,1,1,1,3,1
2,23,35,0,0,0,0,0
5,8,52,1,0,0,2,1
7,17,16,1,0,0,0,0
6,11,28,1,1,1,1,0
8,21,19,0,0,1,5,1
15,23,5,1,0,0,5,1
7,22,4,1,0,0,3,0
4,23,39,0,1,0,5,1
2,0,36,0,1,1,4,1
8,11,22,0,1,0,0,0
5,8,15,0,1,0,0,0
1,5,2,1,0,0,2,0
15,1,37,0,0,1,3,1
7,19,44,1,0,1,1,1
1,11,26,1,0,1,4,1
7,22,31,1,1,0,1,0
3,1,6,1,1,1,5,1
14,8,33,1,1,0,0,1
5,23,51,1,0,0,4,1
12,18,24,1,1,1,2,1
10,11,36,0,0,0,5,1
10,15,31,1,1,1,3,1
3,1,42,1,1,0,0,1
13,23,32,1,0,0,0,1
6,2,24,0,1,0,2,0
7,13,47,1,0,1,4,1
9,2,56,0,1,1,4,1
10,11,43,1,0,1,3,1
5,19,18,1,0,0,1,0
6,7,21,1,0,0,2,0
3,19,31,0,0,0,5,1
4,9,36,1,0,1,3,0
9,20,16,0,0,1,2,1
9,7,24,0,1,0,4,1
13,15,41,0,0,1,5,1
3,6,32,0,1,1,5,1
9,13,33,0,0,0,4,1
11,19,53,1,1,0,2,1
4,11,44,0,1,0,4,1
6,13,15,1,0,0,4,1
13,6,12,0,0,0,5,1
8,21,6,1,0,0,5,1
13,3,30,0,1,1,2,1
5,10,42,0,1,1,4,1
9,6,43,0,0,1,0,1
9,19,9,0,0,0,3,1
4,9,46,1,1,0,3,1
5,7,60,1,0,1,1,1
7,4,7,0,1,1,1,0
15,5,35,1,1,0,2,1
2,23,51,0,0,1,5,1
5,0,15,0,0,1,0,0
5,19,30,1,0,0,2,0
9,23,11,0,0,1,4,1
4,19,17,1,1,1,1,0
1,4,22,0,1,0,4,1
14,1,8,1,0,0,2,1
14,22,14,1,1,1,5,1
11,10,25,1,1,0,1,1
6,11,44,0,1,0,3,1
3,22,11,1,0,1,5,1
13,12,53,0,1,1,2,1
11,15,35,0,0,1,4,1
4,14,35,0,1,0,1,0
5,16,24,0,0,0,4,1
12,3,41,1,1,0,0,1
15,7,54,0,0,0,3,1
2,18,11,0,1,1,2,0
9,16,57,1,1,1,3,1
5,8,6,0,1,0,1,0
2,22,48,0,1,0,3,1
8,21,29,0,1,1,5,1
13,8,55,1,0,1,0,1
11,14,50,1,1,1,3,1
13,5,26,0,1,0,2,1
15,12,30,0,0,1,0,1
1,23,38,1,0,1,0,0
1,17,31,0,1,1,2,0
9,14,46,1,1,1,4,1
10,8,53,1,1,1,1,1
10,11,50,1,1,1,5,1
6,19,43,0,1,1,4,1
12,17,50,1,0,1,1,1
14,5,17,0,1,0,4,1
5,11,57,0,1,0,3,1
2,9,40,1,0,0,2,0
7,11,38,0,0,0,5,1
5,1,32,0,1,0,5,1
12,1,7,0,1,1,1,1
3,10,12,0,1,1,1,0
4,21,24,0,0,1,3,0
8,10,27,0,1,0,5,1
7,14,2,0,1,0,3,0
7,16,44,1,0,0,2,1
13,16,58,1,1,0,3,1
10,6,44,0,0,0,4,1
6,23,2,1,1,1,0,0
3,11,2,1,1,0,5,1
7,20,4,1,0,0,1,0
3,23,57,1,1,1,0,1
3,21,51,0,1,1,3,1
11,12,40,1,1,1,3,1
1,22,35,1,0,0,1,0
3,1,42,0,1,1,3,1
2,12,23,0,1,1,0,0
14,8,31,0,1,0,2,1
12,3,28,0,1,0,5,1
8,21,55,1,0,1,2,1
15,5,46,1,0,1,2,1
6,5,26,0,0,0,1,0
14,2,47,0,0,1,5,1
3,19,42,1,0,1,1,1
1,14,1,1,0,1,5,1
12,20,49,1,0,0,1,1
14,5,38,0,1,1,3,1
9,8,26,0,0,0,0,1
14,19,39,1,0,0,3,1
10,22,7,1,0,0,0,1
9,9,36,0,0,1,2,1
8,0,14,0,1,0,5,1
12,14,59,1,0,1,2,1
14,8,14,1,1,1,4,1
3,21,43,0,1,1,0,1
8,3,37,0,1,0,4,1
12,1,55,1,1,0,0,1
5,14,30,0,1,1,5,1
6,1,50,0,1,1,3,1
10,11,47,1,1,0,5,1
4,2,28,0,0,1,0,0
9,23,28,0,1,0,5,1
2,21,39,0,1,1,3,0
1,16,30,1,1,1,3,0
9,15,44,0,0,1,5,1
10,16,60,1,1,0,0,1
7,18,10,1,1,0,0,0
1,21,32,0,1,0,0,0
11,18,20,0,0,0,2,1
8,19,45,1,1,0,2,1
2,17,31,0,0,0,4,1
13,0,25,1,1,1,5,1
9,3,39,1,1,0,3,1
6,6,55,1,1,1,0,1
15,15,10,0,1,0,0,1
5,23,32,0,0,1,0,0
4,19,18,0,0,1,5,1
9,14,41,1,0,0,3,1
12,0,16,1,1,0,0,1
11,7,33,0,1,0,1,1
12,3,41,0,0,1,3,1
15,7,51,1,1,1,5,1
5,4,14,0,0,1,2,0
3,4,2,0,1,0,0,0
9,16,24,0,1,0,1,1
9,15,53,0,1,0,4,1
2,8,18,0,1,0,1,0
4,21,34,0,0,0,3,0
14,14,56,0,1,0,2,1
3,16,32,0,1,1,0,0
12,22,20,0,1,0,3,1
12,12,26,1,1,0,5,1
13,18,26,0,1,0,1,1
10,14,23,1,1,1,5,1
7,11,39,0,0,0,1,0
15,15,10,0,1,1,0,1
1,19,19,1,0,0,3,0
11,11,49,1,0,0,0,1
12,11,39,1,1,0,5,1
4,11,48,1,0,1,1,1
9,14,42,0,0,0,1,1
15,0,2,1,1,0,5,1
9,9,38,0,0,0,5,1
1,4,26,1,0,0,2,0
9,2,35,0,0,1,0,1
5,20,12,1,0,1,2,0
12,14,17,0,1,1,3,1
1,15,25,0,1,1,2,0
9,13,55,0,1,1,3,1
11,0,14,1,1,1,1,1
10,18,51,1,0,0,3,1
5,13,31,0,0,1,1,0
14,19,29,0,0,0,4,1
14,8,23,0,1,1,0,1
11,12,5,0,0,1,2,1
3,9,36,1,1,0,2,0
4,10,45,1,0,0,1,1
9,11,57,0,0,0,2,1
7,6,10,0,1,1,1,0
5,16,20,0,1,1,0,0
11,22,14,0,1,0,1,1
5,4,44,0,1,1,3,1
9,15,25,1,1,1,0,1
7,2,16,0,1,1,0,0
6,17,29,0,1,1,5,1
8,14,30,0,0,1,5,1
10,18,35,1,0,0,0,1
15,3,29,0,0,0,2,1
11,6,22,0,1,1,1,1
2,16,7,1,1,1,5,1
4,13,34,1,1,1,3,0
12,5,53,1,0,1,3,1
1,4,48,1,0,0,0,1
9,14,57,1,0,1,5,1
3,7,19,1,0,0,4,1
7,16,57,1,1,0,4,1
1,19,14,0,0,0,1,0
11,3,26,0,1,0,0,1
6,2,54,1,1,0,5,1
11,0,3,1,0,1,2,1
1,8,6,0,0,0,2,0
12,3,47,1,0,1,0,1
6,6,49,1,0,1,5,1
11,11,28,0,0,1,0,1
7,15,25,1,0,0,0,0
9,7,42,0,1,1,0,1
15,17,59,1,0,0,3,1
8,3,60,0,1,1,2,1
2,22,21,0,1,1,3,0
12,7,30,1,1,1,4,1
1,17,36,1,1,1,5,1
2,9,49,1,1,1,0,1
10,16,16,0,1,0,3,1
8,21,39,0,1,1,5,1
9,11,31,1,1,0,3,1
10,7,41,1,0,0,3,1
6,16,51,1,1,1,2,1
11,18,58,0,1,0,4,1
6,12,39,0,1,0,0,0
6,10,1,1,1,1,2,0
6,4,18,0,1,1,1,0
13,7,33,0,0,0,1,1
8,22,42,1,1,1,1,1
5,7,5,1,1,1,0,0
3,7,52,1,0,0,1,1
9,3,38,1,1,0,4,1
9,8,29,0,1,1,3,1
1,8,34,1,0,0,1,0
9,14,30,0,1,1,0,1
6,20,14,1,1,1,4,1
8,16,59,1,1,0,1,1
7,3,32,0,1,1,3,0
8,3,14,1,1,1,2,0
1,17,47,1,1,1,4,1
5,18,31,0,1,1,5,1
12,3,14,1,0,0,4,1
1,8,42,1,0,1,5,1
7,10,60,0,0,0,0,1
8,14,23,1,1,1,0,0
9,9,34,1,1,1,5,1
6,8,8,1,1,1,3,0
7,2,25,0,1,1,3,0
1,10,28,0,1,1,2,0
15,0,33,0,0,1,3,1
2,8,41,0,1,0,5,1
3,23,30,1,1,1,5,1
15,1,18,0,0,1,5,1
10,14,3,0,0,0,1,1
15,12,8,1,0,0,5,1
2,15,31,0,0,0,0,0
4,0,29,1,0,0,3,0
9,7,20,1,0,0,0,1
12,21,6,0,1,0,0,1
12,10,39,0,0,0,3,1
13,4,35,0,0,0,2,1
6,19,31,1,0,0,4,1
13,5,55,1,0,0,4,1
8,22,52,1,1,1,2,1
2,7,46,0,1,0,4,1
7,15,46,1,1,0,2,1
6,19,24,1,0,1,1,0
11,7,37,0,0,0,0,1
7,5,6,0,0,1,5,1
14,10,2,1,0,0,5,1
15,5,6,1,0,0,1,1
6,7,41,1,0,0,2,1
1,2,55,0,0,1,5,1
2,18,34,0,0,1,4,1
15,20,53,1,0,0,5,1
5,7,54,0,1,0,4,1
3,4,35,1,0,1,2,0
2,6,58,1,1,0,2,1
14,22,47,0,1,1,4,1
8,7,43,1,0,0,5,1
3,12,5,0,1,1,4,1
10,5,57,0,0,0,2,1
7,7,16,0,0,1,0,0
12,19,32,0,1,1,3,1
14,15,4,1,1,0,1,1
8,4,31,1,0,1,3,0
11,14,34,1,1,0,1,1
11,15,41,0,0,1,4,1
6,12,55,0,1,1,0,1
11,13,40,0,1,0,1,1
3,11,13,1,1,0,0,0
12,20,50,0,1,0,5,1
12,11,37,0,1,1,3,1
8,10,22,0,0,0,0,0
1,21,7,0,1,1,4,1
2,7,10,0,0,1,3,0
8,10,53,0,1,0,0,1
12,21,27,0,0,1,1,1
15,11,17,1,0,0,3,1
5,3,38,0,0,1,0,0
7,21,12,0,0,1,1,0
2,6,52,1,1,1,1,1
15,22,15,0,1,1,1,1
7,10,31,0,0,0,1,0
1,12,34,1,0,1,0,0
5,5,39,0,0,0,1,0
2,13,10,1,1,1,0,0
4,16,38,0,1,1,0,0
9,20,30,0,1,0,5,1
6,9,54,0,0,0,3,1
3,21,39,1,0,0,5,1
1,2,24,1,0,1,5,1
13,2,58,0,0,1,0,1
11,4,38,0,0,0,4,1
8,6,8,1,1,1,5,1
13,5,36,1,0,1,0,1
12,0,52,0,0,0,3,1
11,3,58,0,0,1,2,1
4,0,42,0,1,0,3,1
6,8,16,0,1,1,5,1
6,21,51,0,1,0,4,1
15,21,14,1,1,0,1,1
5,18,30,1,1,1,5,1
8,11,13,0,1,0,0,0
6,15,8,1,0,0,1,0
14,21,22,1,0,0,0,1
8,13,25,1,0,0,3,0
9,22,11,0,1,0,1,1
15,16,29,1,0,1,3,1
6,12,28,1,1,0,1,0
7,19,31,1,1,1,2,0
13,21,46,1,1,0,5,1
11,5,47,1,0,1,1,1
9,19,9,1,0,1,5,1
8,6,17,0,1,0,3,0
12,0,37,1,0,0,5,1
8,3,45,1,0,1,5,1
13,14,12,0,0,1,3,1
12,7,46,0,0,0,3,1
8,0,44,1,1,0,0,1
9,16,42,0,1,1,4,1
8,7,24,0,1,1,4,1
6,8,9,1,0,1,3,0
9,18,34,0,1,0,2,1
3,0,29,0,0,1,3,0
4,11,23,0,1,1,4,1
13,11,59,1,0,0,0,1
1,8,56,0,0,1,2,1
8,17,1,1,0,1,1,0
3,20,38,0,1,1,1,0
3,10,5,1,1,0,2,0
3,10,24,0,0,0,1,0
4,15,40,1,1,0,3,0
6,15,60,0,0,1,0,1
9,12,48,0,0,0,1,1
7,3,42,1,0,1,0,1
4,23,17,0,0,1,0,0
14,9,2,1,0,1,4,1
11,20,5,1,1,1,4,1
8,2,11,0,1,1,4,1
14,16,24,0,1,1,1,1
6,3,57,0,0,0,1,1
8,0,31,0,0,1,3,0
3,23,25,1,1,1,5,1
9,21,20,1,1,1,4,1
4,0,54,1,1,0,4,1
10,19,38,1,0,0,5,1
5,19,8,0,1,1,0,0
6,18,25,0,0,1,5,1
6,7,43,0,1,1,2,1
9,7,45,0,1,1,3,1
14,6,39,1,0,0,1,1
13,9,3,0,1,0,3,1
5,18,56,1,1,1,2,1
3,6,11,1,1,0,1,0
4,8,27,0,0,0,1,0
3,21,52,1,1,0,0,1
2,1,40,0,1,0,4,1
1,1,27,1,1,1,4,1
13,15,35,1,0,0,1,1
4,2,26,0,1,1,2,0
3,7,10,1,1,0,0,0
11,11,24,1,0,1,5,1
10,22,42,1,0,1,3,1
5,8,15,1,0,1,0,0
15,11,47,0,0,0,0,1
8,14,33,1,0,1,5,1
8,21,40,0,1,0,0,0
2,15,16,1,1,1,4,1
4,9,26,1,1,1,2,0
12,22,19,0,0,1,1,1
15,8,56,1,0,0,2,1
3,13,30,0,1,1,5,1
13,9,25,1,0,1,0,1
1,6,21,1,1,0,3,0
4,8,8,1,0,1,2,0
7,18,54,0,0,0,5,1
13,7,27,0,1,1,4,1
12,14,21,0,0,0,0,1
1,17,45,1,1,0,3,1
8,23,19,1,0,1,0,0
12,17,60,0,1,1,5,1
6,14,15,0,1,0,4,1
13,15,45,0,0,0,3,1
2,10,2,0,0,1,1,0
13,2,40,0,1,1,2,1
13,12,23,0,1,1,4,1
12,2,15,0,1,0,1,1
2,2,12,0,0,1,2,0
5,5,44,0,0,1,4,1
5,17,43,0,0,0,3,1
1,11,32,1,0,0,2,0
4,21,40,1,0,0,1,0
2,18,27,1,1,1,0,0
1,9,11,1,0,0,0,0
1,7,30,0,1,1,3,0
14,21,40,1,0,0,1,1
1,1,29,0,0,0,2,0
1,6,53,0,0,0,2,1
9,7,12,0,0,1,4,1
9,22,52,0,0,1,1,1
12,0,37,1,1,1,1,1
2,21,17,1,0,0,4,1
13,16,60,1,0,0,0,1
10,9,43,1,1,1,5,1
6,1,52,1,0,1,5,1
12,21,55,0,1,1,5,1
13,9,13,0,1,1,0,1
10,9,58,0,1,1,2,1
15,0,47,0,1,1,0,1
14,21,52,0,1,0,3,1
14,2,27,1,1,1,1,1
7,23,40,0,0,1,2,0
7,17,19,1,1,0,0,0
13,18,38,1,0,1,5,1
7,13,48,0,1,0,2,1
8,11,25,1,1,0,2,0
7,16,12,0,1,0,1,0
12,0,11,0,0,1,3,1
12,10,13,1,0,1,4,1
11,5,42,1,0,0,4,1
11,13,7,1,0,0,0,1
10,10,26,1,1,1,4,1
8,22,4,0,0,0,2,0
9,2,22,1,1,0,2,1
5,15,43,0,0,1,3,1
7,6,13,1,0,1,1,0
10,4,10,0,0,1,3,1
11,19,34,1,1,1,3,1
15,5,9,1,0,0,1,1
11,4,49,0,0,0,1,1
9,13,47,1,1,1,1,1
13,22,56,1,0,1,2,1
4,14,38,1,1,1,3,0
9,14,5,1,1,1,5,1
10,20,54,0,0,1,3,1
1,7,38,0,0,0,0,0
6,3,22,1,1,0,1,0
4,5,48,1,1,1,4,1
3,20,43,1,1,0,1,1
8,0,58,1,0,1,4,1
1,0,22,0,1,1,1,0
3,15,23,0,1,1,1,0
5,18,3,0,1,1,4,1
5,16,50,1,0,0,4,1
7,22,27,0,0,0,5,1
8,14,1,0,0,0,2,0
10,21,22,0,0,0,4,1
3,23,52,1,0,0,2,1
14,14,47,0,0,0,5,1
15,12,25,1,0,0,0,1
9,2,27,0,1,0,5,1
9,12,47,0,0,0,2,1
10,8,25,0,1,1,5,1
9,22,43,1,1,0,0,1
3,22,56,1,0,0,2,1
14,11,16,0,0,1,2,1
5,2,51,1,1,0,4,1
10,17,46,0,0,1,5,1
1,8,31,0,1,1,5,1
1,5,23,1,0,0,3,0
7,20,46,1,0,1,0,1
7,10,44,1,0,0,1,1
3,14,42,0,0,0,1,1
7,23,38,0,1,1,3,0
3,13,8,1,0,1,3,0
5,17,25,0,1,1,4,1
12,13,16,1,0,0,3,1
11,13,54,0,1,1,1,1
9,3,18,1,1,0,5,1
10,19,10,0,0,0,5,1
2,18,3,1,1,1,2,0
15,15,14,1,1,0,2,1
15,17,20,0,1,0,1,1
9,10,24,0,0,1,5,1
2,16,34,0,1,0,1,0
5,6,23,0,1,0,2,0
11,23,21,0,1,1,1,1
13,13,24,1,0,0,5,1
10,8,52,0,1,0,0,1
6,23,7,0,0,0,4,1
2,14,32,1,1,1,0,0
12,11,13,0,0,0,5,1
8,14,14,1,1,1,4,1
4,8,35,1,0,1,4,1
10,21,23,1,1,0,1,1
11,6,7,0,0,1,4,1
15,22,9,1,1,0,3,1
12,22,41,1,0,1,3,1
15,21,40,1,0,0,5,1
5,7,17,0,0,0,3,0
7,10,59,0,1,1,3,1
14,21,58,0,1,1,5,1
4,5,44,1,0,0,1,1
10,18,14,0,1,0,0,1
2,12,19,1,1,1,0,0
11,19,35,1,0,1,1,1
3,10,29,1,1,1,0,0
11,22,20,0,1,0,2,1
3,6,6,1,1,1,3,0
9,5,32,0,0,0,2,1
8,9,42,1,1,1,5,1
1,14,16,1,0,0,0,0
10,23,28,1,1,0,1,1
11,6,21,1,1,1,0,1
6,13,47,0,0,1,0,1
5,18,35,0,1,0,0,0
4,4,50,1,1,0,3,1
